GENERIC NAME,BRAND NAME,RESTRICTION CRITERIA,AHFS CLASS
imipenem+cilastatin,Primaxin,"Restricted to treatment of documented or suspected infections involving multi-drug resistant organisms where other agents (e.g. piperacillin-tazobactam, ticarcillin-clavulanate, ceftazidime) cannot be used due to intolerance or resistance",MISC. BETA-LACTAM ANTIBIOTICS
indinavir,Crixivan,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
insulin detemir,Levemir,Restricted to pediatric patients with diabetes mellitus,INSULINS
interferon alfa (compounded from IV),,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,INTERFERONS
interferon alfa-2b,Intron-A,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,INTERFERONS
ipilimumab,Yervoy,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
irinotecan,Camptosar,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
isotretinoin,Accutane,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,MISC. SKIN AND MUCOUS MEMBRANE AGENTS
lacosamide,Vimpat,Restricted to the following criteria:,"ANTICONVULSANTS, MISCELLANEOUS"
,,Adjunctive therapy for medically refractory partial-onset epilepsy,
,,"Adjunctive therapy for refractory status epilepticus where other suitable anti-epileptic agents (such as phenytoin, midazolam, phenobarbital, levetiracetam) have been ineffective, not tolerated or not appropriate.",
,,Continuity of care for patients receiving lacosamide for epilepsy prior to admission.,
,,Lacosamide IV is restricted to patients unable to take lacosamide PO,
lactobacillus rhamnosus GG,Culturelle,Restricted to the treatment and prevention of antibiotic-associated diarrhea (not clostridium difficile),ANTIDIARRHEA AGENTS
lamivudine,3TC,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS OR hepatitis B prophylaxis in patients with a proven-negative HIV test who are immunocompromized (solid organ transplant (SOT) or bone marrow transplant (BMT) or chemotherapy) OR treatment in those with liver failure due to Hepatitis B.,ANTIRETROVIRALS
lamivudine+zidovudine,Combivir,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
lanreotide acetate,Somatuline,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,OTHER MISCELLANEOUS THERAPEUTIC AGENTS
lansoprazole,"Prevacid, Fastabs",Restricted to pediatrics,PROTON-PUMP INHIBITORS
lanthanum carbonate,Fosrenol,Restricted to indications outlined by BCPRA AND patients who are registered with BCPRA,PHOSPHATE-REMOVING AGENTS
lapatinib,Tykerb,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
lenalidomide,Revlimid,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,BIOLOGIC RESPONSE MODIFIERS
letrozole,Femara,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
leucovorin PO,Lederle Leucovorin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTIDOTES
leuprolide,Lupron,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
leuprolide (depot),"Eligard, Lupron Depot",Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
levocarnitine,Carnitor,Restricted to metabolic disorders,"CALORIC AGENTS, PARENTERAL NUTRITION"
levofloxacin,Levaquin,Restricted to pediatrics for the empiric treatment of low-risk fever and neutropenia,QUINOLONE ANTIBIOTICS
linagliptin,Trajenta,Restricted to combination treatment for type 2 diabetes mellitus when insulin NPH is not an option AND after inadequate glycemic control on maximum tolerated doses of metformin AND a sulfonylurea,DIPEPTIDYL PEPTIDASE-4 (DPP-4) INHIBITOR
linezolid,Zyvox,Restricted to infections caused by gram positive organisms that are resistant to vancomycin or in patients intolerant to vancomycin.,"ANTIBACTERIALS, MISCELLANEOUS"
lomustine,CeeNU,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
lopinavir+ritonavir,Kaletra,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
lovastatin,Mevacor,Restricted to HIV/AIDS patients with HAART (highly active anti-retroviral therapy),HMG-CoA REDUCTASE INHIBITORS
magnesium hydroxide+mineral oil,Magnolax,Restricted to patients with eating disorder,CATHARTICS AND LAXATIVES
,,(Automatic Therapeutic Interchange to magnesium hydroxide suspension at same dose and frequency in other patients),
maraviroc,Celsentri,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
melphalan,Alkeran,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
meperidine,Demerol,Restricted to treatment of drug- or blood product-induced rigors and post-operative shivering,OPIATE AGONIST ANALGESICS
meropenem,Merrem,"Treatment of documented or suspected infections involving multi-drug resistant organisms where other agents (e.g. piperacillin-tazobactam, ticarcillin-clavulanate, ceftazidime, imipenem) cannot be used due to intolerance or resistance",MISC. BETA-LACTAM ANTIBIOTICS
,,OR,
,,"For the following indications/populations: CNS infections, cystic fibrosis, pediatric patients, febrile neutropenia",
methadone,Metadol,Restricted to physicians with a full or temporary methadone exemption for opioid dependence or for analgesia (as per Section 56 of the Controlled Drugs and Substances Act),OPIATE AGONIST ANALGESICS
methyl aminolevulinate,Metvix,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,SKIN AND MUCOUS MEMBRANE AGENTS
methylnaltrexone,Relistor,Restricted to patients with opioid-induced constipation where conventional laxative treatments have failed or are not appropriate for patient circumstances,"GI DRUGS, MISCELLANEOUS"
micafungin,Mycamine,Restricted to fungal infections that are known or suspected to be resistant to fluconazole OR in patients intolerant to fluconazole,ECHINOCANDIN ANTIFUNGALS
mitomycin,Mutamycin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA OR ophthalmic surgical procedures,ANTINEOPLASTIC AGENTS
mitotane,Lysodren,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
mitoxantrone,Novantrone,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA OR to treatment of multiple sclerosis OR to treatment of neuromyelitis optic (NMO or Devic's syndrome),ANTINEOPLASTIC AGENTS
mometasone,Nasonex,Restricted to pediatrics age 3 to 12,ANTI-INFLAMMATORY AGENTS (SKIN & MUCOUS MEMBRANES)
mometasone furoate,Asmanex twisthaler,Restricted to HIV/AIDS patients with HAART (highly active anti-retroviral therapy),ADRENALS
mycophenolate mofetil,Cellcept,Restricted to solid organ transplant (SOT) OR bone marrow transplant (BMT) OR to indications outlined by BC Provincial Renal Agency (BCPRA) BCPRA Glomerulonephritis Formulary,IMMUNOSUPPRESSIVE AGENTS
mycophenolate sodium,Myfortic,Restricted to indications outlined by BCTS.,IMMUNOSUPPRESSIVE AGENTS
,,The indications for Mycophenolate Sodium (Myfortic¨) will be as follows:,
,,Patients who have intolerance to the gastro-intestinal side effects of CellCept¨.,
,,Out-of-province patients who are receiving Myfortic¨ and have returned to British Columbia for follow-up,
nelfinavir,Viracept,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
nevirapine,"Viramune, Viramune XR",Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
nifedipine SR,Adalat,Restricted to obstetric indications,DIHYDROPYRIDINES
nilotinib,Tasigna,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
nilutamide,Anandron,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
nitrazepam,Mogadon,Restricted to pediatrics,BENZODIAZEPINE ANTICONVULSANTS
octreotide long acting,Sandostatin LAR,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,MISCELLANEOUS THERAPEUTIC AGENTS
omeprazole,Losec,Restricted to pediatrics OR pregnancy OR breastfeeding,PROTON-PUMP INHIBITORS
ondansetron ODT,Zofran (oral disintegrating tablet),"Restricted to patients unable to tolerate other available dosage forms (tablet, liquid, injection)",5-HT3 RECEPTOR ANTAGONIST ANTIEMETICS
oseltamivir,Tamiflu,Restricted to approval of the Medical Health Officer (MHO) for prophylaxis of influenza-like illness (ILL). UNRESTRICTED for treatment of influenza-like illness (ILL).,NEURAMINIDASE INHIBITOR ANTIVIRALS
oxaliplatin,Eloxatin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
paclitaxel,Taxol,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
paclitaxel-nab (nano albumin bound),Abraxane,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
paliperidone LAI,Invega Sustenna,Restricted to either,ANTIPSYCHOTIC AGENTS
,,Continuation of prior to admission therapy OR,
,,Paliperidone initiated by Psychiatry for patients who meet the following PharmaCare Special Authority criteria:,
,,Management of the manifestations of schizophrenia or related psychotic disorders in:,
,,Patients who have tried oral paliperidone or risperidone PLUS at least one other antipsychotic agent PLUS continue to be inadequately controlled at maximally-tolerated dose OR,
,,Patients who are currently receiving a conventional depot antipsychotic PLUS experiencing significant side effects such as extrapyramidal symptoms or tardive dyskinesia OR,
,,Patients with a history of non-adherence to antipsychotic medications resulting in important negative outcomes such as repeated hospitalizations,
paliperidone PO,Invega,Restricted to intolerability of other antipsychotic agents,ANTIPSYCHOTIC AGENTS
palivizumab,Synagis,Restricted to respiratory syncytial virus (RSV) prophylaxis as per provincial criteria,MONOCLONAL ANTIBODIES
panitumumab,Vectibix,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
paraldehyde,,Restricted for use in emergency management of paediatric status epilepticus,"ANXIOLYTICS, SEDATIVES & HYPNOTICS"
paromomycin,Humatin,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,AMEBICIDES
pazopanib,Votrient,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
peginterferon alfa-2a,Pegasys,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,SULFONAMIDES (SYSTEMIC)
pemetrexed,Alimta,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
pentamidine isethionate,"Pentacarinat, Pneumopent",Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS OR for PCP prophylaxis in patients allergic or intolerant to cotrimoxazole,MISCELLANEOUS ANTI-INFECTIVES
pertuzumab,Perjeta,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
phospholipid+surfactant-associated proteins,Bles (Bovine Lipid Extract Surfactant),Restricted to neonates,PULMONARY SURFACTANTS
pomalidomide,Pomalyst,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
porfimer,Photofrin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
posaconazole,Posanol,Restricted to the prophylaxis or treatment of invasive fungal infections in patients 13 years of age and older who can tolerate a full fat meal for the following indications:,AZOLE ANTIFUNGALS
,,Prophylaxis of invasive fungal infections in:,
,,"Neutropenic patients, where neutropenia is present for 10 days or longer, plus one of the following:",
,,"Colonized with Aspergillus species, and/or receiving corticosteroids>1mg/kg/day.",
,,Acute Myeloid Leukemia or Myelodysplastic Syndrome receiving induction chemotherapy;,
,,Acute lymphocytic leukemia,
,,Burkitt's Lymphoma,
,,Allogeneic stem cell transplant patients with steroid- refractory graft-versus-host-disease treated with intensive immunosuppressive therapy,
,,"Treatment of invasive fungal infections, including zygomycetes, in leukemia/bone marrow transplant patients:",
,,"Intolerant or resistant to other appropriate antifungals (e.g. amphotericin B, voriconazole, itraconazole, micafungin), or",
,,Where oral step down therapy is appropriate and cost effective,
procarbazine,Matulane,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
quinagolide,Norprolac,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,MISCELLANEOUS THERAPEUTIC AGENTS
rabies immune globulin,"Hyperrab, Imogam",Restricted to use approved by the Medical Health Officer,SERUMS
rabies vaccine,Imovax Rabies,Restricted to use approved by the Medical Health Officer,VACCINES
raltegravir,Isentress,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
raltitrexed,Tomudex,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
rasburicase,Fasturtec,Restricted to treatment of acute or at high risk of tumour lysis syndrome when other therapeutic options are not suitable,ENZYMES
ribavirin,Virazole,Restricted to treatment of Respiratory Syncytial Virus (RSV) infections,NUCLEOSIDE & NUCLEOTIDE ANTIVIRALS
rilpivirine,Endurant,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
risperidone LAI,Risperdal Consta,Restricted to patients who have PharmaCare Special Authority approval,ANTIPSYCHOTIC AGENTS
ritonavir,Norvir,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
rituximab,Rituxan,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA; OR adjunct therapy in kidney transplantation for refractory biopsy-proven antibody-mediated rejection; OR indications outlined by BCPRA AND patients who are registered with BCPRA,ANTINEOPLASTIC AGENTS
rivaroxaban,Xarelto,"Restricted to continuation of therapy in patients who were on rivaroxaban prior to admission OR for prophylaxis of venous thromboembolism (VTE) following elective total hip replacement surgery (up to 35 days) or elective total knee replacement surgery (up to 14 days) OR 
at risk patients with non-valvular atrial fibrillation, for the prevention of stroke and systemic embolism AND in whom anticoagulation is inadequate following at least a 2 month trial of warfarin OR for whom anticoagulation using warfarin is contraindicated or not possible due to inability to regularly monitor the patient via International Normalized Ratio (INR) testing in the community (i.e. no access to INR testing services at a laboratory, clinic, pharmacy and at home) OR
for the treatment of venous thromboembolic events (VTE) (deep vein thrombosis [DVT] and pulmonary embolism [PE]) and prevention of recurrent DVT and PE, for a duration of up to six months",ANTICOAGULANTS
rivastigmine,Exelon,PharmaCare Alzheimer's Drug Therapy Initiative (ADTI) approval is required for new starts in Acute and Residential Care OR continuation of treatment in Residential Care.  UNRESTRICTED for continuation of prior to admission therapy in Acute Care.,PARASYMPATHOMIMETIC (CHOLINERGIC) AGENTS
rosuvastatin,Crestor,Restricted to HIV/AIDS patients with HAART (highly active anti-retroviral therapy),HMG-CoA REDUCTASE INHIBITORS
ruxolitinib,Jakavi,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
saquinavir,Invirase,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
sevelamer,Renagel,Restricted to indications outlined by BCPRA AND patients who are registered with BCPRA,MISCELLANEOUS THERAPEUTIC AGENTS
sildenafil,"Viagra, Revatio",Restricted to treatment of pulmonary arterial hypertension (PAH),PHOSPHODIESTERASE INHIBITORS
simvastatin,Zocor,Restricted to HIV/AIDS patients with HAART (highly active anti-retroviral therapy),HMG-CoA REDUCTASE INHIBITORS
sirolimus,Rapamune,Restricted to solid organ transplant (SOT) OR bone marrow transplant (BMT),IMMUNOSUPPRESSIVE AGENTS
sodium ferric gluconate complex,Ferrlecit,Restricted to indications outlined by BCPRA AND patients who are registered with BCPRA,IRON PREPARATIONS
sodium thiosulfate,,Restriced to the treatment of calciphylaxis,HEAVY METAL ANTAGONISTS
somatropin,Humatrope,Restricted to PharmaCare approved indications,PITUITARY AGENTS
sorafenib,Nexavar,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,MISCELLANEOUS THERAPEUTIC AGENTS
stavudine,Zerit,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
streptozocin,Zanosar,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
sunitinib,Sutent,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
tacrolimus,"ADVAgraf, Prograf",Restricted to solid organ transplant (SOT) OR bone marrow transplant (BMT) OR to indications outlined by BC Provincial Renal Agency (BCPRA) BCPRA Glomerulonephritis Formulary,IMMUNOSUPPRESSIVE AGENTS
tamoxifen,Tamofen,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
temozolomide,Temodal,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
temsirolimus,Torisel,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
teniposide,Vumon,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
tenofovir,Viread,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS OR indications outlined by BCTS,ANTIRETROVIRALS
testosterone enanthate,Delatestryl,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANDROGENS
thioguanine,Lanvis,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
thyrotropin alfa,Thyrogen,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,THYROID FUNCTION
ticagrelor,Brilinta,Restricted to the following criteria:,PLATELET-AGGREGATION INHIBITORS
,,For continuity of care in patients who are using ticagrelor in the community,
,,As per PharmaCare criteria for physicians who have signed off on the Collaborative Prescribing Agreement,
,,,
,,PharmaCare Criteria:,
,,"To be taken in combination with ASA 75 mg Ð 150 mg daily for patients with acute coronary syndrome (i.e., ST elevation myocardial infarction [STEMI], non-ST elevation myocardial infarction [NSTEMI] or unstable angina [UA]) with ONE of the following:",
,,Failure on optimal clopidogrel and ASA therapy as defined by definite stent thrombosis or recurrent STEMI or NSTEMI or UA after prior revascularization via percutaneous coronary intervention (PCI),
,,OR,
,,STEMI and undergoing revascularization via PCI,
,,OR,
,,NSTEMI or UA and high risk angiographic anatomy and undergoing revascularization via PCI,
ticarcillin+clavulanate,Timentin,Restricted to treatment of Stenotrophomonas maltophilia infections when other agents cannot be used due to intolerance or resistance,EXTENDED-SPECTRUM PENICILLINS
tigecycline,Tygacil,Restricted for use as a last line for patients with multi-drug resistant organism infections or intolerance to other antibiotics,TETRACYCLINES
tipranavir,Aptivus,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
topotecan,Hycamtin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
trastuzumab,Herceptin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
trastuzumab emtansine,Kadcyla,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
tretinoin,Vesanoid,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
valganciclovir,Valcyte,"Restricted to use in HIV/AIDS, transplant, hematology, oncology, or ophthalmology patients",NUCLEOSIDE & NUCLEOTIDE ANTIVIRALS
valine,L-valine,Restricted to inborn errors of metabolism,CALORIC AGENTS
vemurafenib,Zelboraf,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
verteporfin,Visudyne,Restricted to wet macular degeneration only on provision of funding by the Ministry of Health,MISCELLANEOUS EENT DRUGS
vinblastine,Velbe,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
vincristine,Oncovin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
vinorelbine,Navelbine,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
vismodegib,Erivedge,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
voriconazole,VFEND,Restricted to prophylaxis or treatment of aspergillus OR scedosporium OR fusarium OR in patients intolerant to or isolate resistant to amphotericin B deoxycholate or fluconazole. ,AZOLE ANTIFUNGALS
zanamivir,Relenza,Restricted to approval of the Medical Health Officer (MHO) for treatment or prophylaxis of influenza-like illness (ILL) unresponsive to other antivirals,NEURAMINIDASE INHIBITOR ANTIVIRALS
zidovudine,Retrovir,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
ziprasidone,Zeldox,Restricted to patient specific diagnosis identified as schizophrenia or other psychosis (not dementia related) PLUS treatment failure or intolerance to another anti-psychotic agent,ANTIPSYCHOTIC AGENTS
zoledronic acid,Zometa,Restricted to treatment of osteogenesis imperfecta in adults OR pediatrics,BONE RESORPTION INHIBITORS
